gene	mRNA_begin	mRNA_end	label	Tree1_one_ratio	Tree1_two_ratio_forground	Tree1_two_ratio_background	Tree2_one_ratio	Tree2_two_ratio_forground	Tree2_two_ratio_background	Tree3_one_ratio	Tree3_two_ratio_forground	Tree3_two_ratio_background	Tree1_one_ratio_lnL	Tree1_two_ratio_lnL	Tree2_one_ratio_lnL	Tree2_two_ratio_lnL	Tree3_one_ratio_lnL	Tree3_two_ratio_lnL	lrt_1_1_p_value	lrt_1_1_q_value	lrt_2_2_p_value	lrt_2_2_q_value	lrt_3_3_p_value	lrt_3_3_q_value	BestT1	BestT2	BestT3	BestlnL	Besttree	highw5
GALGAL_R12594	1208541	1215600	nonoutlier	0.065594421	0.0872168	0.065416	0.065883829	0.0001	0.0666504	0.066114032	0.0001	0.0668169	-12317.82078	-12317.75291	-12322.36986	-12320.08016	-12324.39572	-12322.16407	0.712543187	1	0.032358468	1	0.034630452	1	-12317.75291	-12320.08016	-12322.16407	-12317.75291	1	0
GALGAL_R12913	1276053	1298422	nonoutlier	0.116232715	0.101591	0.116373	0.116504452	0.0001	0.11722	0.116387877	0.0001	0.116939	-18020.91553	-18020.89493	-18029.75797	-18028.49156	-18029.79695	-18028.84462	0.839125407	1	0.111501211	1	0.167557197	1	-18020.89493	-18028.49156	-18028.84462	-18020.89493	1	0
GALGAL_R00664	1418803	1419765	nonoutlier	0.10099524	999	0.100068	0.101075454	0.0001	0.10064	0.101325648	3.59218	0.101139	-5128.262877	-5127.374834	-5129.616029	-5129.008828	-5129.656766	-5129.731069	0.182630679	1	0.270462066	1	1	1	-5127.374834	-5129.008828	-5129.656766	-5127.374834	1	1
GALGAL_R00146	1436379	1437407	nonoutlier	0.095691598	999	0.0948515	0.095691598	0.0001	0.0957019	0.095691598	0.76359	0.0957013	-5363.198836	-5362.504231	-5363.198926	-5363.198728	-5363.199071	-5363.199035	0.238538557	1	0.984123346	1	0.993229806	1	-5362.504231	-5363.198728	-5363.199035	-5362.504231	1	1
GALGAL_R12983	1545237	1545706	nonoutlier	0.068437809	0.0001	0.0700707	0.067195715	0.0001	0.0671919	0.067381287	0.0001	0.0676545	-1910.814395	-1909.855127	-1913.648588	-1913.648565	-1913.569808	-1913.456975	0.166018141	1	0.994588525	1	0.634756214	1	-1909.855127	-1913.648565	-1913.456975	-1909.855127	1	0
GALGAL_R12815	1546279	1550413	nonoutlier	0.040617473	0.0605835	0.0400275	0.039733179	999	0.0389381	0.04097457	0.0001	0.0415986	-1791.590977	-1791.487905	-1795.219578	-1793.956618	-1796.434492	-1795.92492	0.649806633	1	0.111989448	1	0.312722141	1	-1791.487905	-1793.956618	-1795.92492	-1791.487905	1	0
GALGAL_R12590	1552627	1555571	nonoutlier	0.181225278	0.311689	0.180555	0.18091456	0.199394	0.180792	0.181111607	999	0.1807	-9628.520757	-9628.31738	-9632.822478	-9632.818209	-9634.42034	-9633.597542	0.523621662	1	0.926379208	1	0.199559401	1	-9628.31738	-9632.818209	-9633.597542	-9628.31738	1	0
GALGAL_R12589	1570169	1583614	nonoutlier	0.217325989	0.11526	0.217574	0.217120623	0.715921	0.216683	0.217287382	42.4321	0.217144	-22464.47214	-22464.34651	-22467.13212	-22466.90386	-22468.11714	-22468.28426	0.616185055	1	0.499261442	1	1	1	-22464.34651	-22466.90386	-22468.11714	-22464.34651	1	0
GALGAL_R12814	1595844	1600261	nonoutlier	0.207334316	1.08001	0.203381	0.208008865	31.5143	0.204834	0.209120014	0.0351583	0.209971	-11953.77892	-11951.70892	-11963.23624	-11961.11897	-11971.22639	-11970.92397	0.041881169	1	0.039609262	1	0.436737283	1	-11951.70892	-11961.11897	-11970.92397	-11951.70892	1	0
GALGAL_R12813	1613462	1615482	nonoutlier	0.089248608	0.0482578	0.089497	0.089210769	0.0001	0.0898267	0.089260988	0.11018	0.0891863	-5226.555221	-5226.535343	-5226.81859	-5226.58013	-5226.6767	-5226.675511	0.841958412	1	0.489820752	1	0.961106781	1	-5226.535343	-5226.58013	-5226.675511	-5226.535343	1	0
GALGAL_R12979	1618736	1620869	nonoutlier	0.165424656	0.0879242	0.16653	0.166113605	0.094954	0.16676	0.165079277	999	0.164054	-6677.494222	-6677.339165	-6678.408047	-6678.324187	-6678.413064	-6677.405614	0.577610239	1	0.682146116	1	0.155761532	1	-6677.339165	-6678.324187	-6677.405614	-6677.339165	1	0
GALGAL_R12978	1628556	1646994	nonoutlier	0.132747201	0.219917	0.132417	0.133008028	0.0001	0.133195	0.13320722	0.0001	0.133669	-11593.18087	-11593.06488	-11596.76176	-11596.35426	-11594.9763	-11593.98855	0.630056609	1	0.366646116	1	0.159864853	1	-11593.06488	-11596.35426	-11593.98855	-11593.06488	1	0
GALGAL_R12975	1654158	1654792	nonoutlier	0.06074319	0.0001	0.0615901	0.060302808	0.0001	0.0609056	0.060302808	999	0.058465	-1009.131804	-1008.862722	-1009.417161	-1009.375698	-1009.417185	-1008.867286	0.463194622	1	0.773370661	1	0.294310439	1	-1008.862722	-1009.375698	-1008.867286	-1008.862722	1	0
GALGAL_R12833	1656629	1659524	nonoutlier	0.130044843	999	0.127951	0.130985915	4.93312	0.12978	0.13121825	0.0001	0.131218	-11883.65787	-11881.47892	-11889.07747	-11888.20588	-11893.08766	-11893.08741	0.036838035	1	0.186734887	1	0.982124608	1	-11881.47892	-11888.20588	-11893.08741	-11881.47892	1	1
GALGAL_R12820	1661620	1674352	nonoutlier	0.270164657	0.288238	0.269779	0.275473734	0.0001	0.281453	0.272766523	26.7901	0.272751	-2549.706845	-2549.704629	-2553.742224	-2553.046345	-2554.802178	-2554.802166	0.946921428	1	0.23810844	1	0.996091196	1	-2549.704629	-2553.046345	-2554.802166	-2549.704629	1	0
GALGAL_R13122	1711557	1714919	nonoutlier	0.067950263	0.0001	0.0684944	0.067776229	6.26079	0.0677842	0.067776229	0.0001	0.0680913	-2330.425731	-2329.987697	-2330.683666	-2330.684197	-2330.683523	-2330.456572	0.349280889	1	1	1	0.500487758	1	-2329.987697	-2330.683666	-2330.456572	-2329.987697	1	0
GALGAL_R00513	1771251	1771998	nonoutlier	0.033974988	0.0001	0.0351961	0.033652634	5.83278	0.0336586	0.033652634	1.4524	0.0336588	-1497.008129	-1496.698695	-1497.059744	-1497.059888	-1497.059261	-1497.059813	0.431468255	1	1	1	1	1	-1496.698695	-1497.059744	-1497.059261	-1496.698695	1	0
GALGAL_R17726	1815316	1815782	nonoutlier	0.065155252	999	0.0640596	0.066040889	33.0432	0.0660357	0.067088931	0.0001	0.0686935	-1410.367146	-1409.513724	-1414.227039	-1414.227026	-1412.894622	-1411.850806	0.191395358	1	0.995931589	1	0.148496088	1	-1409.513724	-1414.227026	-1411.850806	-1409.513724	1	1
GALGAL_R00153	1838820	1840571	nonoutlier	0.211330363	0.280019	0.210707	0.210992459	999	0.209822	0.211444929	0.179904	0.211616	-7024.167805	-7024.139238	-7025.023258	-7024.255108	-7026.285421	-7026.281464	0.811084495	1	0.215169384	1	0.929113171	1	-7024.139238	-7024.255108	-7026.281464	-7024.139238	1	0
GALGAL_R12598	1872180	1874324	nonoutlier	0.04653224	0.0001	0.0468424	0.046073729	0.0001	0.0460787	0.046077819	0.0001	0.0460785	-1042.236887	-1042.128618	-1042.329061	-1042.329015	-1042.329118	-1042.329081	0.641690545	1	0.992347077	1	0.993136422	1	-1042.128618	-1042.329015	-1042.329081	-1042.128618	1	0
GALGAL_R13014	1977466	1980100	nonoutlier	0.070575759	0.0001	0.0717486	0.070275792	0.0001	0.0702838	0.070275792	0.212906	0.0702838	-2791.04902	-2790.081682	-2791.617569	-2791.617413	-2791.617948	-2791.618003	0.164247774	1	0.985907282	1	1	1	-2790.081682	-2791.617413	-2791.617948	-2790.081682	1	0
GALGAL_R00553	1998392	2003274	nonoutlier	0.097802472	827.974	0.0973114	0.098058114	0.0001	0.0984036	0.097886144	5.76565	0.0979202	-5097.284496	-5096.771244	-5097.311628	-5097.027317	-5096.802618	-5097.430939	0.310981194	1	0.450807017	1	1	1	-5096.771244	-5097.027317	-5096.802618	-5096.771244	1	1
GALGAL_R13016	2004707	2006058	nonoutlier	0.061148881	0.0001	0.0615793	0.060781036	2.81494	0.0607955	0.060781036	0.220058	0.0607951	-1251.550974	-1251.410355	-1251.677917	-1251.677911	-1251.677908	-1251.677908	0.595890933	1	0.997236052	1	1	1	-1251.410355	-1251.677911	-1251.677908	-1251.410355	1	0
GALGAL_R00157	2009253	2017735	nonoutlier	0.101640898	0.0001	0.102228	0.101518476	0.0001	0.101942	0.101492602	0.0001	0.101785	-10080.27022	-10079.33051	-10080.54325	-10079.89489	-10080.35308	-10079.68818	0.170399401	1	0.254815788	1	0.248840089	1	-10079.33051	-10079.89489	-10079.68818	-10079.33051	1	0
GALGAL_R12834	2076342	2079293	nonoutlier	0.031453135	0.0001	0.031456	0.031453135	0.0001	0.031456	0.031453135	101.689	0.0314553	-1485.74027	-1485.740235	-1485.740355	-1485.740326	-1485.740606	-1485.740508	0.993324497	1	0.993923551	1	0.988829981	1	-1485.740235	-1485.740326	-1485.740508	-1485.740235	1	0
GALGAL_R13021	2123241	2139857	nonoutlier	0.405257017	0.640589	0.402311	0.406422581	15.231	0.406132	0.405882353	0.441835	0.405611	-32460.97023	-32459.89874	-32529.23789	-32530.56581	-32523.01074	-32523.00255	0.143222133	1	1	1	0.898142791	1	-32459.89874	-32529.23789	-32523.00255	-32459.89874	1	0
GALGAL_R13022	2160209	2160582	nonoutlier	0	0.0001	0.0001	0	0.916923	0.0001	0	0.0001	0.0001	-319.75102	-319.75102	-319.75102	-319.751028	-319.75102	-319.75102	1	1	1	1	1	1	-319.75102	-319.75102	-319.75102	-319.75102	1	0
GALGAL_R13024	2178399	2193442	nonoutlier	0.024920294	0.0001	0.0249772	0.024894378	0.0001	0.024928	0.02489276	65.3254	0.0249032	-10458.68515	-10458.56427	-10459.65654	-10459.61192	-10459.70507	-10459.70668	0.622939268	1	0.765130245	1	1	1	-10458.56427	-10459.61192	-10459.70507	-10458.56427	1	0
GALGAL_R13025	2227817	2228389	nonoutlier	0.024171424	0.0001	0.0244693	0.023895038	12.1296	0.0238944	0.023895038	5.87389	0.0238946	-1821.81752	-1821.656289	-1824.552456	-1824.552504	-1824.552484	-1824.552504	0.570131816	1	1	1	1	1	-1821.656289	-1824.552456	-1824.552484	-1821.656289	1	0
GALGAL_R13027	2247939	2260500	nonoutlier	0.024455352	0.0001	0.0246215	0.024457221	8.76618	0.0244193	0.024457221	1.12585	0.0244203	-3691.231544	-3691.114595	-3692.687536	-3692.687842	-3692.686872	-3692.687578	0.628648463	1	1	1	1	1	-3691.114595	-3692.687536	-3692.686872	-3691.114595	1	0
GALGAL_R00163	2271063	2291235	nonoutlier	0.157571867	0.0001	0.158288	0.157153025	0.0001	0.157174	0.157153025	27.016	0.157172	-16021.9714	-16020.76677	-16023.16292	-16023.16243	-16023.15978	-16023.164	0.120619218	1	0.975128451	1	1	1	-16020.76677	-16023.16243	-16023.15978	-16020.76677	1	0
GALGAL_R00353	2367956	2370330	nonoutlier	0.133691849	0.0148895	0.136303	0.133682954	8.80834	0.133677	0.133682954	8.32046	0.133676	-5676.212537	-5675.524956	-5676.595186	-5676.59518	-5676.594762	-5676.594852	0.240926957	1	0.997236052	1	1	1	-5675.524956	-5676.59518	-5676.594762	-5675.524956	1	0
GALGAL_R00566	2374509	2377283	nonoutlier	0.097101914	0.0242014	0.098616	0.097036329	0.0001	0.0973638	0.096887098	8.54282	0.0968608	-4501.858263	-4501.348845	-4503.708091	-4503.350614	-4503.990738	-4503.991688	0.312795272	1	0.397804093	1	1	1	-4501.348845	-4503.350614	-4503.990738	-4501.348845	1	0
GALGAL_R12606	2387400	2400346	nonoutlier	0.179862069	564.393	0.1785	0.18029177	13.8582	0.180256	0.18029177	9.39962	0.180256	-4631.715698	-4631.382511	-4632.473016	-4632.474433	-4632.474049	-4632.474288	0.414318659	1	1	1	1	1	-4631.382511	-4632.473016	-4632.474049	-4631.382511	1	1
GALGAL_R00164	2408060	2412275	nonoutlier	0.165171088	0.0458494	0.16656	0.164502306	0.0645869	0.165004	0.163884079	999	0.162481	-11596.38894	-11595.54298	-11596.84934	-11596.58087	-11597.61614	-11596.14546	0.193348854	1	0.463708659	1	0.08633769	1	-11595.54298	-11596.58087	-11596.14546	-11595.54298	1	0
GALGAL_R00570	2422836	2445723	nonoutlier	0.339927642	0.238994	0.340113	0.340103085	0.0001	0.340469	0.340103085	6.59857	0.34012	-11719.5084	-11719.49048	-11720.62249	-11720.5492	-11720.62372	-11720.62317	0.849833871	1	0.701825294	1	0.973493969	1	-11719.49048	-11720.5492	-11720.62317	-11719.49048	1	0
GALGAL_R17376	2503233	2507085	nonoutlier	0.343009236	0.0001	0.346966	0.340464906	0.0001	0.340446	0.339635381	0.244669	0.340694	-2768.246107	-2767.487361	-2768.571621	-2768.57151	-2768.059454	-2768.029381	0.217999423	1	0.988112228	1	0.80626533	1	-2767.487361	-2768.57151	-2768.029381	-2767.487361	1	0
GALGAL_R12608	2842599	2877012	nonoutlier	0.075021252	0.0001	0.0751736	0.074925711	0.0001	0.0749222	0.074925711	779.257	0.0747607	-6728.334522	-6728.131144	-6728.592993	-6728.59269	-6728.593237	-6728.563023	0.523620641	1	0.980360406	1	0.805820744	1	-6728.131144	-6728.59269	-6728.563023	-6728.131144	1	0
GALGAL_R00573	2885815	2889395	nonoutlier	0.265564051	0.619197	0.260961	0.267029973	0.131568	0.267038	0.267029973	0.0001	0.267038	-1638.009283	-1637.750577	-1643.586927	-1643.586913	-1643.586924	-1643.586897	0.471947742	1	0.995778011	1	0.994136823	1	-1637.750577	-1643.586913	-1643.586897	-1637.750577	1	0
GALGAL_R00468	3020970	3034192	nonoutlier	0.202658198	0.110648	0.203323	0.203127756	0.141196	0.203395	0.202688425	0.10794	0.202844	-9155.952385	-9155.831094	-9156.719167	-9156.688821	-9158.542645	-9158.529041	0.622347446	1	0.805405531	1	0.868984536	1	-9155.831094	-9156.688821	-9158.529041	-9155.831094	1	0
GALGAL_R00469	3048849	3050696	nonoutlier	0.361183023	6.05176	0.361165	0.361183023	12.522	0.361163	0.361183023	22.5136	0.361164	-1566.065907	-1566.066199	-1566.06614	-1566.066243	-1566.066079	-1566.066243	1	1	1	1	1	1	-1566.065907	-1566.06614	-1566.066079	-1566.065907	1	0
GALGAL_R12933	3177524	3206798	nonoutlier	0.00486618	0.0001	0.00485161	0.004859559	17.6002	0.00482298	0.00486334	26.03	0.004823	-5204.517579	-5204.492969	-5205.565943	-5205.67666	-5205.008272	-5205.676642	0.824426133	1	1	1	1	1	-5204.492969	-5205.565943	-5205.008272	-5204.492969	1	0
GALGAL_R00472	3276267	3289155	nonoutlier	0.112265846	0.676126	0.110898	0.113266744	0.0001	0.11357	0.113115803	48.9628	0.112698	-10115.92772	-10114.23436	-10129.01757	-10128.51054	-10129.34746	-10129.11447	0.065723252	1	0.313931672	1	0.494848875	1	-10114.23436	-10128.51054	-10129.11447	-10114.23436	1	0
GALGAL_R00473	3376557	3381386	nonoutlier	0.403994246	0.528791	0.40324	0.403978254	0.0001	0.40426	0.403978254	999	0.403247	-5247.63167	-5247.603679	-5251.63187	-5251.618782	-5251.631919	-5251.589628	0.81296312	1	0.871471238	1	0.771181457	1	-5247.603679	-5251.618782	-5251.589628	-5247.603679	1	0
GALGAL_R00168	3417654	3429613	nonoutlier	0.008300279	0.0001	0.00832479	0.008248175	0.0001	0.00823441	0.008248175	0.0001	0.00823461	-2808.877517	-2808.848318	-2810.548834	-2810.548831	-2810.54851	-2810.5485	0.809046121	1	0.998045592	1	0.996431764	1	-2808.848318	-2810.548831	-2810.5485	-2808.848318	1	0
GALGAL_R12610	3751346	3786421	nonoutlier	0.032772153	0.0001	0.0336474	0.032349804	0.0001	0.0323525	0.032362842	0.0001	0.0336111	-803.269263	-803.024443	-804.581139	-804.581131	-803.674225	-803.228005	0.484087936	1	0.99680847	1	0.344816947	1	-803.024443	-804.581131	-803.228005	-803.024443	1	0
GALGAL_R12611	3847528	3937242	nonoutlier	0.164628526	0.201483	0.164208	0.163850424	129.944	0.161874	0.164359334	0.0001	0.16495	-4637.104124	-4637.088425	-4638.660203	-4637.872058	-4641.20853	-4641.147577	0.859355374	1	0.209295899	1	0.726976403	1	-4637.088425	-4637.872058	-4641.147577	-4637.088425	1	0
GALGAL_R12927	4218377	4221948	nonoutlier	0.214954018	0.0614217	0.219047	0.214155936	5.12644	0.214127	0.213034559	999	0.211122	-2944.506514	-2943.838002	-2949.868674	-2949.868848	-2949.559423	-2949.036092	0.247559474	1	1	1	0.306277113	1	-2943.838002	-2949.868674	-2949.036092	-2943.838002	1	0
GALGAL_R00410	4345252	4349224	nonoutlier	0.318965129	0.185563	0.319913	0.319902869	0.0001	0.32098	0.319789653	0.0001	0.321375	-4581.723959	-4581.676392	-4582.473027	-4582.355593	-4582.478451	-4582.256214	0.75774907	1	0.627937539	1	0.504970913	1	-4581.676392	-4582.355593	-4582.256214	-4581.676392	1	0
GALGAL_R00415	4991885	5002300	nonoutlier	0.1496048	0.0761365	0.151449	0.148357482	0.0001	0.148887	0.1486334	0.051392	0.149439	-7511.814611	-7511.198994	-7521.773019	-7521.640709	-7518.520763	-7518.131034	0.267167189	1	0.606963771	1	0.377306954	1	-7511.198994	-7521.640709	-7518.131034	-7511.198994	1	0
GALGAL_R00171	5121475	5124741	nonoutlier	0.046546379	0.0021372	0.0482687	0.046184695	0.0001	0.0466279	0.045985081	0.0001	0.0459811	-4551.337609	-4548.904704	-4556.626767	-4555.995785	-4556.811848	-4556.81164	0.027393936	1	0.261279659	1	0.983727412	1	-4548.904704	-4555.995785	-4556.81164	-4548.904704	1	0
GALGAL_R00417	5138346	5140758	nonoutlier	0.164230561	0.0468969	0.169999	0.161967723	15.5383	0.161979	0.161967723	0.0001	0.161979	-6752.997108	-6750.175626	-6764.573489	-6764.574264	-6764.574149	-6764.573925	0.017525555	1	1	1	0.983113228	1	-6750.175626	-6764.573489	-6764.573925	-6750.175626	1	0
GALGAL_R00173	5143083	5149318	nonoutlier	0.123961412	0.144575	0.123655	0.124284094	23.7176	0.124278	0.124280655	30.892	0.124278	-11357.18526	-11357.14912	-11371.73815	-11371.73853	-11371.73929	-11371.74025	0.788051301	1	1	1	1	1	-11357.14912	-11371.73815	-11371.73929	-11357.14912	1	0
GALGAL_R12615	5150523	5155096	nonoutlier	0.097398992	0.0601012	0.0979413	0.097698084	0.0001	0.0989897	0.097300061	0.0980303	0.0973047	-7172.121786	-7171.964345	-7177.74873	-7175.575574	-7178.634108	-7178.634108	0.574699733	1	0.03708918	1	1	1	-7171.964345	-7175.575574	-7178.634108	-7171.964345	1	0
GALGAL_R12897	5164563	5172144	nonoutlier	0.11666599	0.0001	0.119548	0.114915403	20.8999	0.11457	0.114565893	2.06846	0.114571	-4503.299126	-4500.027202	-4506.931027	-4507.512556	-4507.513158	-4507.513568	0.010524746	1	1	1	1	1	-4500.027202	-4506.931027	-4507.513158	-4500.027202	1	0
GALGAL_R00352	5187965	5236032	nonoutlier	0.021839226	0.106009	0.0214223	0.021977097	0.0001	0.0219732	0.022069082	0.0001	0.0222728	-9950.644874	-9949.615675	-9956.052109	-9956.036352	-9952.384938	-9951.474917	0.151369235	1	0.85909852	1	0.177308277	1	-9949.615675	-9956.036352	-9951.474917	-9949.615675	1	0
GALGAL_R13105	6545106	6545450	nonoutlier	0.124820746	999	0.122366	0.127620074	2.97951	0.127615	0.127620074	4.4656	0.127615	-1427.387798	-1426.238614	-1429.69007	-1429.690233	-1429.690113	-1429.690245	0.129510012	1	1	1	1	1	-1426.238614	-1429.69007	-1429.690113	-1426.238614	1	1
GALGAL_R13106	6675037	6675240	nonoutlier	0.048667439	0.0001	0.0486906	0.048667439	0.0001	0.0486906	0.048667439	0.0001	0.0486906	-709.613956	-709.613935	-709.614054	-709.614046	-709.61408	-709.614075	0.994829153	1	0.99680847	1	0.997476872	1	-709.613935	-709.614046	-709.614075	-709.613935	1	0
GALGAL_R12902	8059554	8091298	nonoutlier	0.045365407	0.403606	0.0448933	0.045647489	22.4521	0.0456354	0.045659416	0.197001	0.0456368	-7234.33648	-7233.846663	-7235.323223	-7235.502525	-7235.455624	-7235.500245	0.322289182	1	1	1	1	1	-7233.846663	-7235.323223	-7235.455624	-7233.846663	1	0
GALGAL_R12617	8660130	8674247	nonoutlier	0.045058298	0.0546488	0.0450174	0.044880174	0.281154	0.0445654	0.045031816	42.4294	0.0450294	-8484.373873	-8484.360379	-8486.674869	-8485.998849	-8491.972586	-8491.974263	0.86951053	1	0.244921798	1	1	1	-8484.360379	-8485.998849	-8491.972586	-8484.360379	1	0
GALGAL_R12905	8689318	8690642	nonoutlier	0.725337797	0.527863	0.735365	0.735949099	0.39386	0.742599	0.720533643	999	0.698607	-990.502098	-990.449632	-996.090937	-996.056176	-995.322773	-994.377183	0.745989447	1	0.792034023	1	0.169068889	1	-990.449632	-996.056176	-994.377183	-990.449632	1	0
GALGAL_R12906	8699645	8708130	nonoutlier	0.302068575	999	0.299399	0.3029327	2.84733	0.302926	0.3029327	1.49525	0.302926	-4362.188883	-4361.550689	-4364.297405	-4364.297411	-4364.297013	-4364.296976	0.258571707	1	1	1	0.993136422	1	-4361.550689	-4364.297405	-4364.296976	-4361.550689	1	1
GALGAL_R00430	8911606	8943662	nonoutlier	0.119874463	0.908246	0.118824	0.120423497	0.123235	0.120404	0.120703764	0.0001	0.120688	-8083.211356	-8082.338909	-8082.889783	-8082.88964	-8086.898946	-8086.898412	0.186519917	1	0.986507191	1	0.973929558	1	-8082.338909	-8082.88964	-8086.898412	-8082.338909	1	0
GALGAL_R00431	8978564	9001754	nonoutlier	0.023648899	0.0001	0.0236434	0.023648899	0.0001	0.0236439	0.023648899	2.8177	0.0236439	-6397.784625	-6397.784507	-6397.784979	-6397.784884	-6397.784629	-6397.786231	0.987743147	1	0.989002269	1	1	1	-6397.784507	-6397.784884	-6397.784629	-6397.784507	1	0
GALGAL_R12909	9265361	9277031	nonoutlier	0.111322497	0.0657235	0.111937	0.110663928	4.33822	0.110661	0.111846739	0.0478867	0.112786	-2876.50945	-2876.434554	-2878.817266	-2878.817662	-2877.904667	-2877.80767	0.69873421	1	1	1	0.659613029	1	-2876.434554	-2878.817266	-2877.80767	-2876.434554	1	0
GALGAL_R12910	9289313	9307886	nonoutlier	0.111111111	0.0624691	0.111439	0.110135367	710.497	0.109655	0.110618708	0.196719	0.110234	-8336.167722	-8336.055716	-8337.997241	-8337.128256	-8336.787236	-8336.664602	0.635999833	1	0.187396247	1	0.620426911	1	-8336.055716	-8337.128256	-8336.664602	-8336.055716	1	0
GALGAL_R00433	9369552	9371088	nonoutlier	0.074456263	0.214195	0.0744673	0.074456263	0.0001	0.0744672	0.074456263	0.0001	0.0744674	-393.406603	-393.406604	-393.406604	-393.406603	-393.406604	-393.406603	1	1	0.998871621	1	0.998871621	1	-393.406603	-393.406603	-393.406603	-393.406603	1	0
GALGAL_R13109	9464756	9465889	nonoutlier	0.071387003	0.00193681	0.0721447	0.071280992	2.932	0.0713036	0.071391619	0.0001	0.0716877	-4250.371367	-4250.183754	-4252.235584	-4252.235834	-4251.761627	-4251.489112	0.54016934	1	1	1	0.460355575	1	-4250.183754	-4252.235584	-4251.489112	-4250.183754	1	0
GALGAL_R12986	9570401	9572219	nonoutlier	0.083253454	27.8445	0.0826037	0.083775695	0.0269996	0.0841199	0.083854005	0.0001	0.0844751	-2933.383289	-2933.057047	-2933.820156	-2933.773485	-2934.196621	-2933.862842	0.419225982	1	0.759970726	1	0.413904297	1	-2933.057047	-2933.773485	-2933.862842	-2933.057047	1	1
