"Gene","clade","Chromosome","ws","we","wstart","outlier"
8094,"Columbea","chr1",100700000,100710000,0,FALSE
8110,"Columbea","chr1",100880000,100890000,1,FALSE
8300,"Columbea","chr1",103160000,103170000,351,FALSE
8322,"Columbea","chr1",103570000,103580000,937,FALSE
8503,"Columbea","chr1",106010000,106020000,363,FALSE
8745,"Columbea","chr1",109490000,109500000,0,FALSE
8770,"Columbea","chr1",109800000,109810000,85,FALSE
9080,"Columbea","chr1",113590000,113600000,945,FALSE
9224,"Columbea","chr1",115120000,115130000,1,FALSE
9405,"Columbea","chr1",117130000,117140000,9,FALSE
9735,"Columbea","chr1",121680000,121690000,412,FALSE
9848,"Columbea","chr1",123310000,123320000,206,FALSE
10096,"Columbea","chr1",126660000,126670000,226,FALSE
10107,"Columbea","chr1",126790000,126800000,290,FALSE
10126,"Columbea","chr1",127030000,127040000,136,FALSE
10399,"Columbea","chr1",131000000,131010000,202,FALSE
10806,"Columbea","chr1",136280000,136290000,1,FALSE
11139,"Columbea","chr1",141150000,141160000,809,FALSE
11162,"Columbea","chr1",141430000,141440000,152,FALSE
11163,"Columbea","chr1",141450000,141460000,33,FALSE
11517,"Columbea","chr1",146720000,146730000,4,FALSE
11881,"Columbea","chr1",151890000,151900000,0,FALSE
11978,"Columbea","chr1",152940000,152950000,223,FALSE
12279,"Columbea","chr1",157870000,157880000,3,FALSE
12461,"Columbea","chr1",160100000,160110000,24,FALSE
12738,"Columbea","chr1",163780000,163790000,647,FALSE
12804,"Columbea","chr1",164490000,164500000,82,FALSE
12906,"Columbea","chr1",165930000,165940000,913,FALSE
12994,"Columbea","chr1",167170000,167180000,0,FALSE
13041,"Columbea","chr1",167900000,167910000,807,FALSE
13654,"Columbea","chr1",176810000,176820000,1,FALSE
13722,"Columbea","chr1",177530000,177540000,136,FALSE
13806,"Columbea","chr1",178990000,179000000,0,FALSE
13986,"Columbea","chr1",181800000,181810000,225,FALSE
14231,"Columbea","chr1",185560000,185570000,145,FALSE
14488,"Columbea","chr1",188970000,188980000,51,FALSE
29721,"Columbea","chr2",4460000,4470000,920,FALSE
29855,"Columbea","chr2",4650000,4660000,365,FALSE
30709,"Columbea","chr2",6060000,6070000,0,FALSE
32038,"Columbea","chr2",7730000,7740000,127,FALSE
27142,"Columbea","chr2",14300000,14310000,864,FALSE
27219,"Columbea","chr2",14380000,14390000,1,FALSE
27691,"Columbea","chr2",16350000,16360000,970,FALSE
27919,"Columbea","chr2",20070000,20080000,206,FALSE
28516,"Columbea","chr2",28380000,28390000,918,FALSE
28573,"Columbea","chr2",29060000,29070000,25,FALSE
29019,"Columbea","chr2",34800000,34810000,19,FALSE
29535,"Columbea","chr2",41650000,41660000,199,FALSE
29965,"Columbea","chr2",48750000,48760000,135,FALSE
30153,"Columbea","chr2",51240000,51250000,9,FALSE
30163,"Columbea","chr2",51510000,51520000,627,FALSE
30244,"Columbea","chr2",52650000,52660000,931,FALSE
30597,"Columbea","chr2",58920000,58930000,1,FALSE
31016,"Columbea","chr2",64510000,64520000,1,FALSE
31159,"Columbea","chr2",66570000,66580000,862,FALSE
31835,"Columbea","chr2",74660000,74670000,964,FALSE
31849,"Columbea","chr2",74800000,74810000,363,FALSE
31914,"Columbea","chr2",75640000,75650000,386,FALSE
32172,"Columbea","chr2",79140000,79150000,0,FALSE
32331,"Columbea","chr2",81540000,81550000,326,FALSE
32415,"Columbea","chr2",82560000,82570000,270,FALSE
32814,"Columbea","chr2",87310000,87320000,999,FALSE
32831,"Columbea","chr2",87490000,87500000,0,FALSE
33112,"Columbea","chr2",91370000,91380000,24,FALSE
33431,"Columbea","chr2",95450000,95460000,935,FALSE
23886,"Columbea","chr2",101080000,101090000,808,FALSE
24131,"Columbea","chr2",104210000,104220000,894,FALSE
24303,"Columbea","chr2",106430000,106440000,793,FALSE
24501,"Columbea","chr2",108920000,108930000,783,FALSE
24503,"Columbea","chr2",108950000,108960000,516,FALSE
24728,"Columbea","chr2",111610000,111620000,0,FALSE
25100,"Columbea","chr2",116410000,116420000,1,FALSE
25370,"Columbea","chr2",119760000,119770000,999,FALSE
25391,"Columbea","chr2",119950000,119960000,842,FALSE
25504,"Columbea","chr2",121380000,121390000,587,FALSE
25640,"Columbea","chr2",122880000,122890000,0,FALSE
25699,"Columbea","chr2",123670000,123680000,148,FALSE
26028,"Columbea","chr2",128400000,128410000,0,FALSE
26725,"Columbea","chr2",137790000,137800000,641,FALSE
26760,"Columbea","chr2",138210000,138220000,416,FALSE
26821,"Columbea","chr2",139000000,139010000,436,FALSE
27254,"Columbea","chr2",144250000,144260000,889,FALSE
34745,"Columbea","chr3",1310000,1320000,842,FALSE
34965,"Columbea","chr3",1610000,1620000,1000,FALSE
40013,"Columbea","chr3",8790000,8800000,339,FALSE
34074,"Columbea","chr3",10290000,10300000,1000,FALSE
34588,"Columbea","chr3",11060000,11070000,644,FALSE
34805,"Columbea","chr3",13910000,13920000,999,FALSE
35169,"Columbea","chr3",18980000,18990000,1,FALSE
35545,"Columbea","chr3",24140000,24150000,689,FALSE
35682,"Columbea","chr3",26140000,26150000,1000,FALSE
35691,"Columbea","chr3",26230000,26240000,910,FALSE
35757,"Columbea","chr3",27320000,27330000,678,FALSE
35813,"Columbea","chr3",27880000,27890000,976,FALSE
36067,"Columbea","chr3",32190000,32200000,462,FALSE
36275,"Columbea","chr3",35210000,35220000,223,FALSE
36545,"Columbea","chr3",39470000,39480000,636,FALSE
36579,"Columbea","chr3",40110000,40120000,951,FALSE
36910,"Columbea","chr3",44840000,44850000,887,FALSE
37238,"Columbea","chr3",49830000,49840000,1,FALSE
37393,"Columbea","chr3",52010000,52020000,625,FALSE
37648,"Columbea","chr3",55290000,55300000,1,FALSE
37862,"Columbea","chr3",58050000,58060000,499,FALSE
37891,"Columbea","chr3",58630000,58640000,213,FALSE
37916,"Columbea","chr3",58930000,58940000,906,FALSE
38062,"Columbea","chr3",60600000,60610000,56,FALSE
38104,"Columbea","chr3",61030000,61040000,98,FALSE
38417,"Columbea","chr3",64960000,64970000,425,FALSE
38480,"Columbea","chr3",65930000,65940000,0,FALSE
38905,"Columbea","chr3",72420000,72430000,525,FALSE
39244,"Columbea","chr3",76730000,76740000,409,FALSE
39288,"Columbea","chr3",77560000,77570000,5,FALSE
39698,"Columbea","chr3",83130000,83140000,285,FALSE
39899,"Columbea","chr3",85890000,85900000,228,FALSE
40031,"Columbea","chr3",88250000,88260000,999,FALSE
40382,"Columbea","chr3",92990000,93000000,50,FALSE
40387,"Columbea","chr3",93030000,93040000,1,FALSE
40562,"Columbea","chr3",95060000,95070000,1,FALSE
40695,"Columbea","chr3",96850000,96860000,162,FALSE
34477,"Columbea","chr3",108900000,108910000,688,FALSE
44203,"Columbea","chr4",540000,550000,990,FALSE
41507,"Columbea","chr4",1730000,1740000,1,FALSE
41508,"Columbea","chr4",17330000,17340000,478,FALSE
41696,"Columbea","chr4",19700000,19710000,2,FALSE
41756,"Columbea","chr4",20550000,20560000,0,FALSE
41944,"Columbea","chr4",23680000,23690000,68,FALSE
41945,"Columbea","chr4",23690000,23700000,0,FALSE
42002,"Columbea","chr4",24680000,24690000,54,FALSE
42019,"Columbea","chr4",25030000,25040000,103,TRUE
42020,"Columbea","chr4",25040000,25050000,21,TRUE
42021,"Columbea","chr4",25050000,25060000,999,TRUE
42022,"Columbea","chr4",25060000,25070000,1000,TRUE
42023,"Columbea","chr4",25080000,25090000,18,TRUE
42024,"Columbea","chr4",25090000,25100000,1,TRUE
42025,"Columbea","chr4",25100000,25110000,0,TRUE
42026,"Columbea","chr4",25110000,25120000,258,TRUE
42027,"Columbea","chr4",25120000,25130000,1,TRUE
42028,"Columbea","chr4",25130000,25140000,0,TRUE
42029,"Columbea","chr4",25140000,25150000,0,TRUE
42030,"Columbea","chr4",25150000,25160000,999,TRUE
42032,"Columbea","chr4",25170000,25180000,1,TRUE
42033,"Columbea","chr4",25180000,25190000,355,TRUE
42034,"Columbea","chr4",25190000,25200000,250,TRUE
42035,"Columbea","chr4",25200000,25210000,562,TRUE
42037,"Columbea","chr4",25210000,25220000,0,TRUE
42038,"Columbea","chr4",25220000,25230000,907,TRUE
42039,"Columbea","chr4",25230000,25240000,682,TRUE
42040,"Columbea","chr4",25240000,25250000,671,TRUE
42041,"Columbea","chr4",25250000,25260000,1000,TRUE
42042,"Columbea","chr4",25260000,25270000,210,TRUE
42043,"Columbea","chr4",25270000,25280000,952,TRUE
42044,"Columbea","chr4",25280000,25290000,639,TRUE
42045,"Columbea","chr4",25290000,25300000,620,TRUE
42046,"Columbea","chr4",25300000,25310000,61,TRUE
42048,"Columbea","chr4",25310000,25320000,886,TRUE
42049,"Columbea","chr4",25330000,25340000,731,TRUE
42050,"Columbea","chr4",25340000,25350000,502,TRUE
42051,"Columbea","chr4",25350000,25360000,1,TRUE
42052,"Columbea","chr4",25360000,25370000,448,TRUE
42053,"Columbea","chr4",25370000,25380000,873,TRUE
42054,"Columbea","chr4",25380000,25390000,45,TRUE
42055,"Columbea","chr4",25390000,25400000,34,TRUE
42056,"Columbea","chr4",25400000,25410000,625,TRUE
42058,"Columbea","chr4",25410000,25420000,393,TRUE
42059,"Columbea","chr4",25420000,25430000,885,TRUE
42061,"Columbea","chr4",25450000,25460000,693,TRUE
42062,"Columbea","chr4",25460000,25470000,534,TRUE
42064,"Columbea","chr4",25490000,25500000,0,TRUE
42065,"Columbea","chr4",25500000,25510000,939,TRUE
42067,"Columbea","chr4",25510000,25520000,107,TRUE
42068,"Columbea","chr4",25520000,25530000,22,TRUE
42069,"Columbea","chr4",25530000,25540000,933,TRUE
42070,"Columbea","chr4",25540000,25550000,163,TRUE
42071,"Columbea","chr4",25550000,25560000,298,TRUE
42072,"Columbea","chr4",25560000,25570000,271,TRUE
42073,"Columbea","chr4",25570000,25580000,491,TRUE
42074,"Columbea","chr4",25590000,25600000,511,TRUE
42075,"Columbea","chr4",25600000,25610000,20,TRUE
42078,"Columbea","chr4",25630000,25640000,372,TRUE
42080,"Columbea","chr4",25650000,25660000,686,TRUE
42081,"Columbea","chr4",25660000,25670000,86,TRUE
42082,"Columbea","chr4",25670000,25680000,0,TRUE
42083,"Columbea","chr4",25680000,25690000,799,TRUE
42084,"Columbea","chr4",25690000,25700000,0,TRUE
42085,"Columbea","chr4",25700000,25710000,52,TRUE
42087,"Columbea","chr4",25720000,25730000,0,TRUE
42089,"Columbea","chr4",25740000,25750000,0,TRUE
42092,"Columbea","chr4",25770000,25780000,267,TRUE
42093,"Columbea","chr4",25780000,25790000,861,TRUE
42094,"Columbea","chr4",25790000,25800000,10,TRUE
42095,"Columbea","chr4",25800000,25810000,201,TRUE
42097,"Columbea","chr4",25810000,25820000,0,TRUE
42098,"Columbea","chr4",25820000,25830000,366,TRUE
42099,"Columbea","chr4",25830000,25840000,1,TRUE
42100,"Columbea","chr4",25850000,25860000,937,TRUE
42101,"Columbea","chr4",25860000,25870000,348,TRUE
42102,"Columbea","chr4",25870000,25880000,0,TRUE
42103,"Columbea","chr4",25880000,25890000,397,TRUE
42105,"Columbea","chr4",25900000,25910000,876,TRUE
42107,"Columbea","chr4",25910000,25920000,189,TRUE
42108,"Columbea","chr4",25920000,25930000,967,TRUE
42109,"Columbea","chr4",25930000,25940000,63,TRUE
42110,"Columbea","chr4",25940000,25950000,1,TRUE
42111,"Columbea","chr4",25950000,25960000,289,TRUE
42112,"Columbea","chr4",25960000,25970000,11,TRUE
42113,"Columbea","chr4",25970000,25980000,0,TRUE
42114,"Columbea","chr4",25980000,25990000,389,TRUE
42115,"Columbea","chr4",25990000,26000000,242,TRUE
42116,"Columbea","chr4",26000000,26010000,17,TRUE
42119,"Columbea","chr4",26010000,26020000,546,TRUE
42120,"Columbea","chr4",26020000,26030000,693,TRUE
42121,"Columbea","chr4",26030000,26040000,0,TRUE
42122,"Columbea","chr4",26040000,26050000,1000,TRUE
42123,"Columbea","chr4",26050000,26060000,0,TRUE
42124,"Columbea","chr4",26060000,26070000,242,TRUE
42125,"Columbea","chr4",26070000,26080000,618,TRUE
42126,"Columbea","chr4",26080000,26090000,1,TRUE
42127,"Columbea","chr4",26090000,26100000,703,TRUE
42129,"Columbea","chr4",26110000,26120000,999,TRUE
42130,"Columbea","chr4",26120000,26130000,0,TRUE
42131,"Columbea","chr4",26130000,26140000,1,TRUE
42132,"Columbea","chr4",26140000,26150000,924,TRUE
42133,"Columbea","chr4",26150000,26160000,536,TRUE
42134,"Columbea","chr4",26160000,26170000,435,TRUE
42135,"Columbea","chr4",26170000,26180000,968,TRUE
42136,"Columbea","chr4",26180000,26190000,3,TRUE
42137,"Columbea","chr4",26190000,26200000,370,TRUE
42138,"Columbea","chr4",26200000,26210000,844,TRUE
42140,"Columbea","chr4",26210000,26220000,755,TRUE
42141,"Columbea","chr4",26220000,26230000,1,TRUE
42142,"Columbea","chr4",26230000,26240000,1,TRUE
42144,"Columbea","chr4",26250000,26260000,78,TRUE
42146,"Columbea","chr4",26280000,26290000,967,TRUE
42147,"Columbea","chr4",26290000,26300000,740,TRUE
42149,"Columbea","chr4",26310000,26320000,967,TRUE
42150,"Columbea","chr4",26320000,26330000,455,TRUE
42152,"Columbea","chr4",26340000,26350000,1000,TRUE
42153,"Columbea","chr4",26350000,26360000,73,TRUE
42154,"Columbea","chr4",26370000,26380000,6,TRUE
42156,"Columbea","chr4",26390000,26400000,967,TRUE
42157,"Columbea","chr4",26400000,26410000,54,TRUE
42159,"Columbea","chr4",26410000,26420000,9,TRUE
42160,"Columbea","chr4",26420000,26430000,113,TRUE
42162,"Columbea","chr4",26440000,26450000,853,TRUE
42163,"Columbea","chr4",26450000,26460000,974,TRUE
42164,"Columbea","chr4",26460000,26470000,463,TRUE
42165,"Columbea","chr4",26470000,26480000,985,TRUE
42166,"Columbea","chr4",26480000,26490000,244,TRUE
42167,"Columbea","chr4",26490000,26500000,1,TRUE
42168,"Columbea","chr4",26500000,26510000,999,TRUE
42170,"Columbea","chr4",26510000,26520000,220,TRUE
42171,"Columbea","chr4",26530000,26540000,1,TRUE
42172,"Columbea","chr4",26540000,26550000,0,TRUE
42173,"Columbea","chr4",26550000,26560000,1,TRUE
42175,"Columbea","chr4",26580000,26590000,55,TRUE
42176,"Columbea","chr4",26590000,26600000,2,TRUE
42179,"Columbea","chr4",26610000,26620000,660,TRUE
42180,"Columbea","chr4",26620000,26630000,410,TRUE
42181,"Columbea","chr4",26630000,26640000,1,TRUE
42182,"Columbea","chr4",26640000,26650000,781,TRUE
42183,"Columbea","chr4",26650000,26660000,1,TRUE
42184,"Columbea","chr4",26660000,26670000,990,TRUE
42185,"Columbea","chr4",26670000,26680000,251,TRUE
42186,"Columbea","chr4",26680000,26690000,99,TRUE
42187,"Columbea","chr4",26690000,26700000,158,TRUE
42189,"Columbea","chr4",26710000,26720000,1,TRUE
42190,"Columbea","chr4",26730000,26740000,908,TRUE
42191,"Columbea","chr4",26740000,26750000,648,TRUE
42192,"Columbea","chr4",26750000,26760000,120,TRUE
42193,"Columbea","chr4",26760000,26770000,4,TRUE
42194,"Columbea","chr4",26770000,26780000,144,TRUE
42196,"Columbea","chr4",26790000,26800000,58,TRUE
42199,"Columbea","chr4",26810000,26820000,32,TRUE
42200,"Columbea","chr4",26820000,26830000,420,TRUE
42201,"Columbea","chr4",26830000,26840000,711,TRUE
42202,"Columbea","chr4",26840000,26850000,0,TRUE
42203,"Columbea","chr4",26850000,26860000,357,TRUE
42204,"Columbea","chr4",26860000,26870000,0,TRUE
42205,"Columbea","chr4",26870000,26880000,10,TRUE
42206,"Columbea","chr4",26880000,26890000,767,TRUE
42208,"Columbea","chr4",26900000,26910000,1,TRUE
42210,"Columbea","chr4",26910000,26920000,44,TRUE
42211,"Columbea","chr4",26920000,26930000,0,TRUE
42212,"Columbea","chr4",26930000,26940000,1,TRUE
42213,"Columbea","chr4",26940000,26950000,0,TRUE
42214,"Columbea","chr4",26950000,26960000,1,TRUE
42215,"Columbea","chr4",26960000,26970000,74,TRUE
42216,"Columbea","chr4",26970000,26980000,260,TRUE
42217,"Columbea","chr4",26980000,26990000,94,TRUE
42218,"Columbea","chr4",26990000,27000000,0,TRUE
42219,"Columbea","chr4",27000000,27010000,744,TRUE
42221,"Columbea","chr4",27010000,27020000,181,TRUE
42222,"Columbea","chr4",27020000,27030000,903,TRUE
42223,"Columbea","chr4",27030000,27040000,27,TRUE
42226,"Columbea","chr4",27060000,27070000,72,TRUE
42227,"Columbea","chr4",27070000,27080000,300,TRUE
42228,"Columbea","chr4",27080000,27090000,363,TRUE
42229,"Columbea","chr4",27090000,27100000,0,TRUE
42230,"Columbea","chr4",27100000,27110000,49,TRUE
42232,"Columbea","chr4",27110000,27120000,902,TRUE
42234,"Columbea","chr4",27130000,27140000,999,TRUE
42235,"Columbea","chr4",27140000,27150000,0,TRUE
42236,"Columbea","chr4",27150000,27160000,181,TRUE
42237,"Columbea","chr4",27160000,27170000,426,TRUE
42239,"Columbea","chr4",27180000,27190000,408,TRUE
42240,"Columbea","chr4",27190000,27200000,797,TRUE
42241,"Columbea","chr4",27200000,27210000,956,TRUE
42246,"Columbea","chr4",27240000,27250000,721,TRUE
42247,"Columbea","chr4",27250000,27260000,0,TRUE
42248,"Columbea","chr4",27260000,27270000,1,TRUE
42249,"Columbea","chr4",27280000,27290000,48,TRUE
42250,"Columbea","chr4",27290000,27300000,946,TRUE
42251,"Columbea","chr4",27300000,27310000,109,TRUE
42253,"Columbea","chr4",27310000,27320000,298,TRUE
42254,"Columbea","chr4",27320000,27330000,404,TRUE
42255,"Columbea","chr4",27330000,27340000,45,TRUE
42256,"Columbea","chr4",27340000,27350000,1000,TRUE
42257,"Columbea","chr4",27350000,27360000,264,TRUE
42258,"Columbea","chr4",27360000,27370000,0,TRUE
42259,"Columbea","chr4",27370000,27380000,314,TRUE
42260,"Columbea","chr4",27380000,27390000,925,TRUE
42261,"Columbea","chr4",27390000,27400000,8,TRUE
42263,"Columbea","chr4",27410000,27420000,345,TRUE
42264,"Columbea","chr4",27430000,27440000,1,TRUE
42265,"Columbea","chr4",27440000,27450000,394,TRUE
42266,"Columbea","chr4",27450000,27460000,631,TRUE
42267,"Columbea","chr4",27460000,27470000,55,TRUE
42268,"Columbea","chr4",27470000,27480000,0,TRUE
42269,"Columbea","chr4",27480000,27490000,322,TRUE
42270,"Columbea","chr4",27490000,27500000,751,TRUE
42271,"Columbea","chr4",27500000,27510000,588,TRUE
42273,"Columbea","chr4",27510000,27520000,185,TRUE
42274,"Columbea","chr4",27520000,27530000,416,TRUE
42275,"Columbea","chr4",27530000,27540000,1,TRUE
42276,"Columbea","chr4",27550000,27560000,19,TRUE
42277,"Columbea","chr4",27560000,27570000,559,TRUE
42278,"Columbea","chr4",27570000,27580000,62,TRUE
42279,"Columbea","chr4",27590000,27600000,865,TRUE
42280,"Columbea","chr4",27600000,27610000,245,TRUE
42283,"Columbea","chr4",27620000,27630000,483,TRUE
42284,"Columbea","chr4",27630000,27640000,259,TRUE
42285,"Columbea","chr4",27640000,27650000,4,TRUE
42286,"Columbea","chr4",27650000,27660000,974,TRUE
42287,"Columbea","chr4",27670000,27680000,970,TRUE
42290,"Columbea","chr4",27700000,27710000,813,TRUE
42291,"Columbea","chr4",27710000,27720000,0,TRUE
42292,"Columbea","chr4",27730000,27740000,730,TRUE
42293,"Columbea","chr4",27740000,27750000,31,TRUE
42294,"Columbea","chr4",27750000,27760000,418,TRUE
42296,"Columbea","chr4",27780000,27790000,452,TRUE
42297,"Columbea","chr4",27790000,27800000,892,TRUE
42298,"Columbea","chr4",27800000,27810000,310,TRUE
42299,"Columbea","chr4",27810000,27820000,565,TRUE
42301,"Columbea","chr4",27830000,27840000,0,TRUE
42302,"Columbea","chr4",27840000,27850000,3,TRUE
42303,"Columbea","chr4",27850000,27860000,667,TRUE
42304,"Columbea","chr4",27860000,27870000,921,TRUE
42306,"Columbea","chr4",27880000,27890000,577,TRUE
42307,"Columbea","chr4",27890000,27900000,280,TRUE
42308,"Columbea","chr4",27900000,27910000,999,TRUE
42309,"Columbea","chr4",27910000,27920000,217,TRUE
42311,"Columbea","chr4",27930000,27940000,0,TRUE
42312,"Columbea","chr4",27940000,27950000,455,TRUE
42313,"Columbea","chr4",27950000,27960000,120,TRUE
42314,"Columbea","chr4",27970000,27980000,902,TRUE
42315,"Columbea","chr4",27980000,27990000,964,TRUE
42317,"Columbea","chr4",28000000,28010000,248,TRUE
42318,"Columbea","chr4",28010000,28020000,229,TRUE
42319,"Columbea","chr4",28020000,28030000,31,TRUE
42320,"Columbea","chr4",28030000,28040000,597,TRUE
42321,"Columbea","chr4",28040000,28050000,213,TRUE
42322,"Columbea","chr4",28050000,28060000,0,TRUE
42324,"Columbea","chr4",28070000,28080000,0,TRUE
42325,"Columbea","chr4",28080000,28090000,1000,TRUE
42326,"Columbea","chr4",28100000,28110000,7,TRUE
42328,"Columbea","chr4",28110000,28120000,324,TRUE
42329,"Columbea","chr4",28130000,28140000,983,TRUE
42330,"Columbea","chr4",28140000,28150000,1000,TRUE
42332,"Columbea","chr4",28160000,28170000,27,TRUE
42333,"Columbea","chr4",28170000,28180000,0,TRUE
42334,"Columbea","chr4",28180000,28190000,0,TRUE
42335,"Columbea","chr4",28190000,28200000,570,TRUE
42339,"Columbea","chr4",28220000,28230000,999,TRUE
42340,"Columbea","chr4",28230000,28240000,0,TRUE
42341,"Columbea","chr4",28240000,28250000,13,TRUE
42342,"Columbea","chr4",28250000,28260000,0,TRUE
42343,"Columbea","chr4",28260000,28270000,252,TRUE
42344,"Columbea","chr4",28270000,28280000,996,TRUE
42345,"Columbea","chr4",28280000,28290000,241,TRUE
42346,"Columbea","chr4",28290000,28300000,708,TRUE
42347,"Columbea","chr4",28300000,28310000,521,TRUE
42349,"Columbea","chr4",28320000,28330000,0,TRUE
42350,"Columbea","chr4",28330000,28340000,1,TRUE
42351,"Columbea","chr4",28340000,28350000,1,TRUE
42352,"Columbea","chr4",28350000,28360000,500,TRUE
42353,"Columbea","chr4",28370000,28380000,767,TRUE
42354,"Columbea","chr4",28380000,28390000,699,TRUE
42356,"Columbea","chr4",28440000,28450000,34,TRUE
42357,"Columbea","chr4",28450000,28460000,46,TRUE
42358,"Columbea","chr4",28460000,28470000,615,TRUE
42359,"Columbea","chr4",28470000,28480000,697,TRUE
42360,"Columbea","chr4",28480000,28490000,1,TRUE
42361,"Columbea","chr4",28490000,28500000,999,TRUE
42362,"Columbea","chr4",28500000,28510000,53,TRUE
42363,"Columbea","chr4",28510000,28520000,10,TRUE
42365,"Columbea","chr4",28530000,28540000,1,TRUE
42366,"Columbea","chr4",28540000,28550000,577,TRUE
42367,"Columbea","chr4",28550000,28560000,970,TRUE
42368,"Columbea","chr4",28560000,28570000,780,TRUE
42369,"Columbea","chr4",28570000,28580000,662,TRUE
42371,"Columbea","chr4",28590000,28600000,507,TRUE
42372,"Columbea","chr4",28600000,28610000,462,TRUE
42373,"Columbea","chr4",28610000,28620000,876,TRUE
42374,"Columbea","chr4",28620000,28630000,726,TRUE
42375,"Columbea","chr4",28630000,28640000,999,TRUE
42376,"Columbea","chr4",28640000,28650000,944,TRUE
42378,"Columbea","chr4",28660000,28670000,303,TRUE
42379,"Columbea","chr4",28730000,28740000,629,TRUE
42380,"Columbea","chr4",28740000,28750000,396,TRUE
42381,"Columbea","chr4",28770000,28780000,0,TRUE
42383,"Columbea","chr4",28820000,28830000,941,TRUE
42386,"Columbea","chr4",28920000,28930000,0,TRUE
42387,"Columbea","chr4",28930000,28940000,987,TRUE
42388,"Columbea","chr4",28940000,28950000,990,TRUE
42390,"Columbea","chr4",28960000,28970000,279,TRUE
42391,"Columbea","chr4",28970000,28980000,227,TRUE
42392,"Columbea","chr4",28980000,28990000,648,TRUE
42393,"Columbea","chr4",28990000,29000000,0,TRUE
42394,"Columbea","chr4",29000000,29010000,1,TRUE
42396,"Columbea","chr4",29010000,29020000,71,TRUE
42397,"Columbea","chr4",29020000,29030000,599,TRUE
42398,"Columbea","chr4",29030000,29040000,1,TRUE
42399,"Columbea","chr4",29040000,29050000,167,TRUE
42400,"Columbea","chr4",29050000,29060000,1,TRUE
42401,"Columbea","chr4",29060000,29070000,999,TRUE
42403,"Columbea","chr4",29080000,29090000,0,TRUE
42404,"Columbea","chr4",29090000,29100000,179,TRUE
42405,"Columbea","chr4",29100000,29110000,605,TRUE
42408,"Columbea","chr4",29150000,29160000,894,TRUE
42410,"Columbea","chr4",29170000,29180000,68,TRUE
42412,"Columbea","chr4",29220000,29230000,448,TRUE
42413,"Columbea","chr4",29240000,29250000,85,TRUE
42418,"Columbea","chr4",29400000,29410000,834,TRUE
42421,"Columbea","chr4",29420000,29430000,1000,TRUE
42434,"Columbea","chr4",29540000,29550000,178,TRUE
42435,"Columbea","chr4",29720000,29730000,0,TRUE
42437,"Columbea","chr4",29740000,29750000,679,TRUE
42439,"Columbea","chr4",29760000,29770000,910,TRUE
42440,"Columbea","chr4",29770000,29780000,392,TRUE
42443,"Columbea","chr4",29800000,29810000,66,TRUE
42444,"Columbea","chr4",29810000,29820000,1,TRUE
42445,"Columbea","chr4",29820000,29830000,824,TRUE
42447,"Columbea","chr4",29840000,29850000,696,TRUE
